Fecha;BRENT;WTI;EXCH
20/11/2020;44.96;42.15;3641.75
30/10/2020;37.46;35.79;3870.94
30/09/2020;40.95;40.22;3829.18
31/08/2020;45.28;42.61;3741.10
31/07/2020;43.30;40.27;3732.83
30/06/2020;41.15;39.27;3757.75
29/05/2020;35.33;35.49;3732.00
30/04/2020;25.27;18.84;3942.86
31/03/2020;22.74;20.48;4055.75
28/02/2020;50.52;44.76;3529.05
31/01/2020;58.16;51.56;3420.65
31/12/2019;66.00;61.06;3277.14
29/11/2019;62.43;55.17;3516.93
31/10/2019;60.23;54.18;3379.55
30/09/2019;60.78;54.07;3477.03
30/08/2019;60.43;55.10;3442.35
31/07/2019;65.17;58.58;3280.19
28/06/2019;66.55;58.47;3211.65
31/05/2019;64.49;53.50;3379.00
30/04/2019;72.80;63.91;3233.95
29/03/2019;68.39;60.14;3186.00
28/02/2019;66.03;57.22;3080.38
31/01/2019;61.89;53.79;3107.00
31/12/2018;53.80;45.41;3249.75
30/11/2018;58.71;50.93;3234.25
31/10/2018;75.47;65.31;3220.55
28/09/2018;82.72;73.25;2972.00
31/08/2018;77.42;69.80;3053.50
31/07/2018;74.25;68.76;2888.66
29/06/2018;79.44;74.15;2930.50
31/05/2018;77.59;67.04;2889.53
30/04/2018;75.17;68.57;2799.51
30/03/2018;70.27;64.94;2795.02
28/02/2018;65.78;61.64;2863.78
31/01/2018;69.05;64.73;2826.71
29/12/2017;66.87;60.42;2986.84
30/11/2017;63.57;57.40;3016.55
31/10/2017;61.37;54.38;3040.50
29/09/2017;57.54;51.67;2938.87
31/08/2017;52.38;47.23;2948.17
31/07/2017;52.65;50.17;2983.72
30/06/2017;47.92;46.04;3043.11
31/05/2017;50.31;48.32;2917.20
28/04/2017;51.73;49.33;2940.17
31/03/2017;52.83;50.60;2873.98
28/02/2017;55.59;54.01;2921.61
31/01/2017;55.70;52.81;2920.06
30/12/2016;56.82;53.72;3000.71
30/11/2016;50.47;49.44;3072.30
31/10/2016;48.30;46.86;3006.78
30/09/2016;49.06;48.24;2881.30
31/08/2016;47.04;44.70;2971.77
29/07/2016;42.46;41.60;3070.88
30/06/2016;49.68;48.33;2920.46
31/05/2016;49.69;49.10;3090.93
29/04/2016;48.13;45.92;2850.04
31/03/2016;39.60;38.34;3002.14
29/02/2016;35.97;33.75;3292.90
29/01/2016;34.74;33.62;3284.55
31/12/2015;37.28;37.04;3174.50
30/11/2015;44.61;41.65;3146.25
30/10/2015;49.56;46.59;2896.70
30/09/2015;48.37;45.09;3087.42
31/08/2015;54.15;49.20;3052.50
31/07/2015;52.21;47.12;2880.45
30/06/2015;63.59;59.47;2606.59
29/05/2015;65.56;60.30;2531.42
30/04/2015;66.78;59.63;2382.60
31/03/2015;55.11;47.60;2599.90
27/02/2015;62.58;49.76;2499.80
30/01/2015;52.99;48.24;2440.11
31/12/2014;57.33;53.27;2376.20
28/11/2014;70.15;66.15;2162.50
31/10/2014;85.86;80.54;2057.75
30/09/2014;94.67;91.16;2024.83
29/08/2014;103.19;95.96;1920.50
31/07/2014;106.02;98.17;1876.50
30/06/2014;112.36;105.37;1879.50
30/05/2014;109.41;102.71;1906.50
30/04/2014;108.07;99.74;1936.50
31/03/2014;107.76;101.58;1970.21
28/02/2014;109.07;102.59;2044.96
31/01/2014;106.40;97.49;2015.31
31/12/2013;110.80;98.42;1943.73
29/11/2013;109.69;92.72;1931.70
31/10/2013;108.84;96.38;1886.18
30/09/2013;108.37;102.33;1906.50
30/08/2013;114.01;107.65;1941.50
31/07/2013;107.70;105.03;1892.96
28/06/2013;102.16;96.56;1925.50
31/05/2013;100.39;91.97;1906.50
30/04/2013;102.37;93.46;1823.93
29/03/2013;110.02;97.23;1828.57
28/02/2013;111.38;92.05;1813.50
31/01/2013;115.55;97.49;1775.01
31/12/2012;111.11;91.82;1762.50
30/11/2012;111.23;88.91;1812.78
31/10/2012;108.70;86.24;1831.00
28/09/2012;112.39;92.19;1800.50
31/08/2012;114.57;96.47;1822.07
31/07/2012;104.92;88.06;1789.99
29/06/2012;97.80;84.96;1780.83
31/05/2012;101.87;86.53;1824.94
30/04/2012;119.47;104.87;1765.28
30/03/2012;122.88;103.02;1787.21
29/02/2012;122.66;107.07;1765.50
31/01/2012;110.98;98.48;1807.81
30/12/2011;107.38;98.83;1935.35
30/11/2011;110.52;100.36;1952.50
31/10/2011;109.56;93.19;1865.07
30/09/2011;102.76;79.20;1929.52
31/08/2011;114.85;88.81;1778.02
29/07/2011;116.74;95.70;1775.75
30/06/2011;112.48;95.42;1772.50
31/05/2011;116.73;102.70;1788.50
29/04/2011;125.89;113.93;1763.50
31/03/2011;117.36;106.72;1870.50
28/02/2011;111.80;96.97;1907.50
31/01/2011;101.01;92.19;1867.00
31/12/2010;94.75;91.38;1907.70
30/11/2010;85.92;84.11;1941.50
29/10/2010;83.15;81.43;1837.54
30/09/2010;82.31;79.97;1802.18
31/08/2010;74.64;71.92;1826.45
30/07/2010;78.18;78.95;1843.50
30/06/2010;75.01;75.63;1900.11
31/05/2010;74.65;73.97;1971.98
30/04/2010;87.44;86.15;1956.75
31/03/2010;82.70;83.76;1920.35
26/02/2010;77.59;79.66;1926.56
29/01/2010;71.46;72.89;1981.90
31/12/2009;77.93;79.36;2043.79
30/11/2009;78.47;77.28;2003.15
30/10/2009;75.20;77.00;1996.14
30/09/2009;69.07;70.61;1919.73
31/08/2009;69.65;69.96;2060.00
31/07/2009;71.70;69.45;2036.60
30/06/2009;69.30;69.89;2143.15
29/05/2009;65.52;66.31;2137.15
30/04/2009;50.80;51.12;2292.90
31/03/2009;49.23;49.66;2548.30
27/02/2009;46.35;44.76;2544.30
30/01/2009;45.88;41.68;2434.60
31/12/2008;45.59;44.60;2248.58
28/11/2008;53.49;54.43;2317.75
31/10/2008;65.32;67.81;2380.60
30/09/2008;98.17;100.64;2192.16
29/08/2008;114.05;115.46;1941.10
31/07/2008;123.98;124.08;1797.15
30/06/2008;139.83;140.00;1913.50
30/05/2008;127.78;127.35;1746.95
30/04/2008;111.36;113.46;1768.68
31/03/2008;100.30;101.58;1831.30
29/02/2008;100.10;101.84;1838.55
31/01/2008;92.21;91.75;1932.55
31/12/2007;93.85;95.98;2017.25
30/11/2007;88.26;88.71;2046.35
31/10/2007;90.63;94.53;1991.55
28/09/2007;79.17;81.66;2029.75
31/08/2007;72.69;74.04;2161.38
31/07/2007;77.05;78.21;1958.25
29/06/2007;71.41;70.68;1973.00
31/05/2007;68.04;64.01;1896.98
30/04/2007;67.65;65.71;2100.30
30/03/2007;68.10;65.87;2203.70
28/02/2007;61.89;61.79;2231.95
31/01/2007;57.40;58.14;2253.60
29/12/2006;60.86;61.05;2240.00
30/11/2006;64.26;63.13;2306.50
31/10/2006;59.03;58.73;2306.50
29/09/2006;62.48;62.91;2398.13
31/08/2006;70.25;70.26;2397.00
31/07/2006;75.15;74.40;2428.05
30/06/2006;73.51;73.93;2573.80
31/05/2006;70.41;71.29;2492.05
28/04/2006;72.50;71.88;2378.65
31/03/2006;65.91;66.63;2290.85
28/02/2006;61.76;61.41;2246.15
31/01/2006;65.99;67.92;2267.50
30/12/2005;58.98;61.04;2286.50
30/11/2005;55.05;57.32;2273.30
31/10/2005;58.10;59.76;2285.00
30/09/2005;63.48;66.24;2287.40
31/08/2005;67.02;68.94;2302.00
29/07/2005;59.37;60.57;2308.00
30/06/2005;55.58;56.50;2327.25
31/05/2005;50.73;51.97;2338.00
29/04/2005;51.09;49.72;2348.40
31/03/2005;54.29;55.40;2374.00
28/02/2005;50.06;51.75;2328.50
31/01/2005;45.92;48.20;2365.50
31/12/2004;40.46;43.45;2354.75
30/11/2004;45.51;49.13;2479.75
29/10/2004;48.98;51.76;2568.50
30/09/2004;46.38;49.64;2618.90
31/08/2004;39.61;42.12;2538.50
30/07/2004;40.03;43.80;2611.90
30/06/2004;34.50;37.05;2693.20
31/05/2004;36.58;39.88;2738.50
30/04/2004;34.48;37.38;2657.80
31/03/2004;31.51;35.76;2679.55
27/02/2004;32.23;36.16;2680.35
30/01/2004;29.18;33.05;2739.00
31/12/2003;30.17;32.52;2780.00
28/11/2003;28.45;30.41;2833.50
31/10/2003;27.70;29.11;2879.30
30/09/2003;27.61;29.20;2900.80
29/08/2003;29.49;31.57;2831.50
31/07/2003;28.37;30.54;2890.77
30/06/2003;28.33;30.19;2817.00
30/05/2003;26.32;29.56;2856.80
30/04/2003;23.68;25.80;2870.00
31/03/2003;27.18;31.04;2958.00
28/02/2003;32.79;36.60;2963.00
31/01/2003;31.10;33.51;2924.75
31/12/2002;28.66;31.20;2867.00
29/11/2002;25.16;26.89;2795.00
31/10/2002;25.72;27.22;2784.20
30/09/2002;28.75;30.45;2870.00
30/08/2002;27.47;28.98;2700.50
31/07/2002;25.44;27.02;2628.50
28/06/2002;25.58;26.86;2404.25
31/05/2002;24.45;25.31;2318.05
30/04/2002;26.47;27.29;2279.00
29/03/2002;25.92;26.31;2273.00
28/02/2002;21.33;21.74;2304.55
31/01/2002;19.18;19.48;2264.50
31/12/2001;19.90;19.84;2277.50
30/11/2001;19.14;19.44;2298.50
31/10/2001;20.37;21.18;2308.35
28/09/2001;23.26;23.43;2334.60
31/08/2001;26.41;27.20;2302.00
31/07/2001;24.69;26.35;2290.20
29/06/2001;26.08;26.25;2297.25
31/05/2001;29.34;28.37;2323.50
30/04/2001;27.89;28.46;2341.00
30/03/2001;24.74;26.29;2312.00
28/02/2001;25.57;27.39;2263.37
31/01/2001;26.66;28.66;2242.65
29/12/2000;23.87;26.80;2236.00
30/11/2000;31.88;33.82;2167.50
31/10/2000;30.76;32.70;2137.50
29/09/2000;29.84;30.84;2212.20
31/08/2000;31.72;33.12;2217.50
31/07/2000;26.93;27.43;2175.00
30/06/2000;30.57;32.50;2148.50
31/05/2000;28.31;29.01;2104.25
28/04/2000;23.89;25.74;2007.00
31/03/2000;24.77;26.90;1958.70
29/02/2000;28.09;30.43;1949.00
31/01/2000;25.97;27.64;1976.50
31/12/1999;25.08;25.60;1872.50
30/11/1999;23.64;24.59;1921.50
29/10/1999;21.69;21.75;1970.50
30/09/1999;23.58;24.51;2005.00
31/08/1999;21.33;22.11;1936.50
30/07/1999;19.37;20.53;1820.00
30/06/1999;17.51;19.29;1748.50
31/05/1999;15.20;16.84;1660.50
30/04/1999;16.57;18.66;1622.00
31/03/1999;15.24;16.76;1534.00
26/02/1999;10.88;12.27;1565.50
29/01/1999;11.35;12.75;1583.80
31/12/1998;10.53;12.05;1550.00
30/11/1998;10.46;11.22;1549.50
30/10/1998;13.22;14.42;1577.50
30/09/1998;14.68;16.14;1550.70
31/08/1998;12.56;13.34;1442.70
31/07/1998;13.09;14.21;1370.50
30/06/1998;13.38;14.18;1370.00
29/05/1998;14.37;15.20;1396.00
30/04/1998;14.46;15.39;1362.00
31/03/1998;14.26;15.61;1361.75
27/02/1998;14.17;15.44;1344.25
30/01/1998;15.96;17.21;1341.85
31/12/1997;16.52;17.64;1295.00
28/11/1997;18.94;19.15;1303.80
31/10/1997;20.02;21.08;1281.20
30/09/1997;19.90;21.18;1246.27
29/08/1997;18.51;19.61;1167.28
31/07/1997;18.94;20.14;1109.85
30/06/1997;18.51;19.80;1090.00
30/05/1997;19.40;20.88;1076.40
30/04/1997;18.52;20.21;1053.60
31/03/1997;19.38;20.41;1059.88
28/02/1997;18.85;20.30;1080.50
31/01/1997;22.52;24.15;1070.97
31/12/1996;23.81;25.92;1005.40
29/11/1996;22.77;23.75;995.40
31/10/1996;22.67;23.35;1001.55
30/09/1996;23.21;24.38;1026.50
30/08/1996;20.78;22.25;1041.00
31/07/1996;18.90;20.42;1059.18
28/06/1996;18.91;20.92;1069.00
31/05/1996;17.80;19.76;1072.00
30/04/1996;19.02;21.20;1061.40
29/03/1996;19.41;21.47;1048.42
29/02/1996;17.76;19.54;1039.81
31/01/1996;16.52;17.74;1028.14
29/12/1995;18.33;19.55;988.16
30/11/1995;17.04;18.18;998.16
